[19-Apr-2020 03:09:17 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 03:20:29 UTC] PHP Warning:  mysqli::mysqli(): Server sent charset (255) unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 03:20:29 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2054): Server sent charset unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 03:20:29 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 03:20:29 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 03:31:26 UTC] PHP Warning:  mysqli::mysqli(): Server sent charset (255) unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 03:31:26 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2054): Server sent charset unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 03:31:26 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 03:31:26 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 03:42:31 UTC] PHP Warning:  mysqli::mysqli(): Server sent charset (255) unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 03:42:31 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2054): Server sent charset unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 03:42:31 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 03:42:31 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 03:49:38 UTC] PHP Warning:  mysqli::mysqli(): Server sent charset (255) unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 03:49:38 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2054): Server sent charset unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 03:49:38 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 03:49:38 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 04:08:31 UTC] PHP Warning:  mysqli::mysqli(): Server sent charset (255) unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 04:08:31 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2054): Server sent charset unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 04:08:31 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 04:08:31 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 04:26:56 UTC] PHP Warning:  mysqli::mysqli(): Server sent charset (255) unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 04:26:56 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2054): Server sent charset unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 04:26:56 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 04:26:56 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 05:01:29 UTC] PHP Warning:  mysqli::mysqli(): Server sent charset (255) unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 05:01:29 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2054): Server sent charset unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
